EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
060670006,US,Sacramento Metro. AQMD,R9,25.3,-8,38.613804,2025-05-02 01:00:00 GMT-8,-121.368007,34,55,55,55,31,31,31,1,PPB,,,ND,-999,1,,14,55,55,55,1,UG/M3,55,55,55,Arden Arcade-Del Paso Manor,Arden Arcade - Del Paso Manor,CA,Active,5/2/2025 9:00:00 AM,474959156,Permanent,-13510624.7378345,4666502.31960435
060670007,US,Sacramento Metro. AQMD,R9,18.3,-8,38.610315,2025-05-02 01:00:00 GMT-8,-121.381541,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,El Camino/Watt,CA,Inactive,5/2/2025 9:00:00 AM,474959157,Permanent,-13512131.3358229,4666005.26419042
060670010,US,California Air Resources Board,R9,0,-8,38.56844,2025-05-02 01:00:00 GMT-8,-121.49311,35,52,52,52,31,31,31,1,PPB,18.0,21.0,21,21,1,UG/M3,10,52,52,52,1,UG/M3,52,52,52,Sacramento,Downtown Sacramento - T Street,CA,Active,5/2/2025 9:00:00 AM,474959158,Permanent,-13524551.1400912,4660041.48671757
060670011,US,Sacramento Metro. AQMD,R9,6.4,-8,38.302591,2025-05-02 01:00:00 GMT-8,-121.420838,37,36,36,36,34,34,34,1,PPB,,,ND,-999,0,,6,36,36,36,1,UG/M3,36,36,36,Elk Grove,Elk Grove,CA,Active,5/2/2025 9:00:00 AM,474959159,Permanent,-13516505.8578526,4622260.40355254
060670012,US,Sacramento Metro. AQMD,R9,101.6,-8,38.683304,2025-05-02 01:00:00 GMT-8,-121.164457,38,51,51,51,33,33,33,1,PPB,,,ND,-999,0,,9,51,51,51,1,UG/M3,51,51,51,Folsom,Folsom,CA,Active,5/2/2025 9:00:00 AM,474959160,Permanent,-13487965.6554835,4676408.5806809
060670014,US,Sacramento Metro. AQMD,R9,4,-8,38.650716,2025-05-02 01:00:00 GMT-8,-121.50665,,,ND,-999,,ND,-999,1,,,,ND,-999,1,,,,ND,-999,0,,,ND,-999,Natomas,Natomas - Goldenland Court,CA,Inactive,5/2/2025 9:00:00 AM,474959161,Permanent,-13526058.4059965,4671762.41671387
060670015,US,Sacramento Metro. AQMD,R9,0,-8,38.593328,2025-05-02 01:00:00 GMT-8,-121.503728,,58,58,58,,ND,-999,0,,,,ND,-999,0,,16,58,58,58,1,UG/M3,58,58,58,,Bercut Dr,CA,Active,5/2/2025 9:00:00 AM,474959162,Permanent,-13525733.1304444,4663585.58068215
060674001,US,Sacramento Metro. AQMD,R9,8.2,-8,38.556326,2025-05-02 01:00:00 GMT-8,-121.458499,,,ND,-999,,ND,-999,0,,,,ND,-999,1,,,,ND,-999,0,,,ND,-999,,Sacramento- Stockton Blvd.,CA,Inactive,5/2/2025 9:00:00 AM,474959163,Permanent,-13520698.2611953,4658316.87648523
060675003,US,Sacramento Metro. AQMD,R9,59.2,-8,38.494475,2025-05-02 01:00:00 GMT-8,-121.211131,37,54,54,54,31,31,31,1,PPB,,,ND,-999,0,,9,54,54,54,1,UG/M3,54,54,54,Sloughhouse,Sloughhouse,CA,Active,5/2/2025 9:00:00 AM,474959164,Permanent,-13493161.3813968,4649515.98165228
060679991,US,Sacramento Metro. AQMD,R9,68,-8,38.343812,2025-05-02 01:00:00 GMT-8,-121.109977,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Rancho Seco,CA,Inactive,5/2/2025 9:00:00 AM,474959165,Permanent,-13481900.9696251,4628109.41921796
